abandonment	abandon|||verb|||—abandonment
Caledonian	Caledonia|||adjective|||—Caledonian
Californian	California|||noun|||—Californian
calligrapher	calligraphy|||noun|||—calligrapher
callously	callous|||adjective|||—callously,—callousness
callousness	callous|||adjective|||—callously,—callousness
calmly	calm|||adjective|||—calmly,—calmness
calmness	calm|||adjective|||—calmly,—calmness
caloric	calorie|||noun|||—caloric
Cambodian	Cambodia|||adjective|||—Cambodian
Cameroonian	Cameroon|||noun|||—Cameroonian
Canadian	Canada|||noun|||—Canadian@@@Canadian|||adjective|||@@@Canadian|||noun|||
Cancerian	Cancer|||noun|||—Cancerian
cancerous	cancer|||noun|||—cancerous
candidly	candid|||adjective|||—candidly
cannibalism	cannibal|||noun|||—cannibalism,—cannibalistic
cannibalistic	cannibal|||noun|||—cannibalism,—cannibalistic
cannily	canny|||adjective|||—cannily
canoeist	canoe|||verb|||—canoeist
canonization	canonize|||verb|||—canonization
canopied	canopy|||noun|||—canopied
cantilevered	cantilever|||noun|||—cantilevered
Cantonese	Canton|||adjective|||—Cantonese@@@Cantonese|||noun|||
canvasser	canvass|||verb|||—canvasser,—canvass
capably	capable|||adjective|||—capably
capaciousness	capacious|||adjective|||—capaciousness
capitalization	capitalize|||verb|||—capitalization
capitulation	capitulate|||verb|||—capitulation
capriciously	capricious|||adjective|||—capriciously
caramelized	caramelize|||verb|||—caramelized
carbo load	carbo loading|||noun|||—carbo load
carbonization	carbonize|||verb|||—carbonized,—carbonization
carbonized	carbonize|||verb|||—carbonized,—carbonization
carbon offset	carbon offsetting|||noun|||—carbon offset
career coaching	career coach|||noun|||—career coaching
careerism	careerist|||adjective|||—careerism,—careerist
carefulness	careful|||adjective|||—carefulness
carelessly	careless|||adjective|||—carelessly,—carelessness
carelessness	careless|||adjective|||—carelessly,—carelessness
carjack	carjacking|||noun|||—carjacker,—carjack
carjacker	carjacking|||noun|||—carjacker,—carjack
carnally	carnal|||adjective|||—carnally
carnivorous	carnivore|||noun|||—carnivorous
carousal	carouse|||verb|||—carousal
carpet bombing	carpet-bomb|||verb|||—carpet bombing
carpooling	carpool|||verb|||—carpooling
carrotmobbing	carrotmob|||noun|||—carrotmobbing
carsickness	carsick|||adjective|||—carsickness
Carthaginian	Carthage|||noun|||—Carthaginian
cartographer	cartography|||noun|||—cartographer
caseworker	casework|||noun|||—caseworker
cashable	cash|||verb|||—cashable
castigation	castigate|||verb|||—castigation
-casting	-cast|||suffix|||—-casting
castration	castrate|||verb|||—castration
casually	casual|||adjective|||—casually,—casualness
casualness	casual|||adjective|||—casually,—casualness
cataclysmic	cataclysm|||noun|||—cataclysmic
catalytic	catalyst|||noun|||—catalytic
catastrophically	catastrophic|||adjective|||—catastrophically
categorization	categorize|||verb|||—categorization
caterwauling	caterwaul|||verb|||—caterwauling
catheterize	catheter|||noun|||—catheterize
Catholicism	Catholic|||adjective|||—Catholic,—Catholicism
CAT scanner	CAT scan|||noun|||—CAT scanner
cattily	catty|||adjective|||—cattily,—cattiness
cattiness	catty|||adjective|||—cattily,—cattiness
causally	causal|||adjective|||—causally
caustically	caustic|||adjective|||—caustically
cautiousness	cautious|||adjective|||—cautiousness
ceaselessly	ceaseless|||adjective|||—ceaselessly
celibacy	celibate|||adjective|||—celibate,—celibacy
censoriously	censorious|||adjective|||—censoriously,—censoriousness
censoriousness	censorious|||adjective|||—censoriously,—censoriousness
centrality	central|||adjective|||—centrally,—centrality
centralization	centralize|||verb|||—centralized,—centralization
centralized	centralize|||verb|||—centralized,—centralization
centrally	central|||adjective|||—centrally,—centrality
centrally heated	central heating|||noun|||—centrally heated
ceramic	ceramics|||noun|||—ceramic
ceremoniously	ceremonious|||adjective|||—ceremoniously
chain-smoker	chain-smoke|||verb|||—chain-smoker
chalkiness	chalky|||adjective|||—chalkiness
challenger	challenge|||verb|||—challenger
challengingly	challenging|||adjective|||—challengingly
chanciness	chancy|||adjective|||—chanciness
channeller	channelling|||noun|||—channeller
chanter	chant|||noun|||—chanter
characteristically	characteristic|||adjective|||—characteristically
charbroiled	charbroil|||verb|||—charbroiled
charitably	charitable|||adjective|||—charitably
charmingly	charming|||adjective|||—charmingly
chastely	chaste|||adjective|||—chastely
chastening	chasten|||verb|||—chastening
chastisement	chastise|||verb|||—chastisement
chatterer	chatter|||verb|||—chatterer
cheaply	cheap|||adjective|||—cheaply,—cheapness
cheapness	cheap|||adjective|||—cheaply,—cheapness
Chechen	Chechnya|||noun|||—Chechen
cheekily	cheeky|||adjective|||—cheekily,—cheekiness
cheekiness	cheeky|||adjective|||—cheekily,—cheekiness
cheerfully	cheerful|||adjective|||—cheerfully,—cheerfulness
cheerfulness	cheerful|||adjective|||—cheerfully,—cheerfulness
cheerily	cheery|||adjective|||—cheerily
cheering	cheer|||verb|||—cheering
cheerlessness	cheerless|||adjective|||—cheerlessness
Chekhovian	Chekhov, Anton|||adjective|||—Chekhovian
chemical engineer	chemical engineering|||noun|||—chemical engineer
chemically	chemical|||adjective|||—chemically
cherubic	cherub|||noun|||—cherubic
childishly	childish|||adjective|||—childishly,—childishness
childishness	childish|||adjective|||—childishly,—childishness
childlessness	childless|||adjective|||—childlessness
childminding	childminder|||noun|||—childminding
child molesting	child molester|||noun|||—child molesting
Chilean	Chile|||noun|||—Chilean
chillaxed	chillax|||verb|||—chillaxed
chilliness	chilly|||adjective|||—chilliness
chillingly	chilling|||adjective|||—chillingly
chiropody	chiropodist|||noun|||—chiropody
chirpily	chirpy|||adjective|||—chirpily,—chirpiness
chirpiness	chirpy|||adjective|||—chirpily,—chirpiness
chivalrously	chivalrous|||adjective|||—chivalrously
choreographer	choreography|||noun|||—choreographer
Christian Scientist	Christian Science|||noun|||—Christian Scientist
chromophobic	chromophobia|||noun|||—chromophobic
chronically	chronic|||adjective|||—chronically
chronologically	chronological|||adjective|||—chronologically
chubbiness	chubby|||adjective|||—chubbiness
Churchillian	Churchill, Sir Winston|||adjective|||—Churchillian
-cidal	-cide|||suffix|||—-cidal,—-cidally
-cidally	-cide|||suffix|||—-cidal,—-cidally
cinematographer	cinematography|||noun|||—cinematographer
circuitously	circuitous|||adjective|||—circuitously
circularity	circular|||adjective|||—circularity
circumlocutory	circumlocution|||noun|||—circumlocutory
circumnavigation	circumnavigate|||verb|||—circumnavigation
circumspection	circumspect|||adjective|||—circumspectly,—circumspection
circumspectly	circumspect|||adjective|||—circumspectly,—circumspection
circumstantially	circumstantial|||adjective|||—circumstantially
circumvention	circumvent|||verb|||—circumvention
civil engineer	civil engineering|||noun|||—civil engineer
clairvoyance	clairvoyant|||noun|||—clairvoyance,—clairvoyant
clammily	clammy|||adjective|||—clammily,—clamminess
clamminess	clammy|||adjective|||—clammily,—clamminess
clamorous	clamour|||noun|||—clamorous
clanking	clank|||verb|||—clank,—clanking
clapping	clap|||verb|||—clapping
clarinettist	clarinet|||noun|||—clarinettist
class-action	class action|||noun|||—class-action
classically	classical|||adjective|||—classically
classifiable	classify|||verb|||—classifiable
classlessness	classless|||adjective|||—classlessness
claustrophobic	claustrophobia|||noun|||—claustrophobic
cleanness	clean|||adjective|||—cleanness
clearness	clear|||adjective|||—clearness
clear-sightedness	clear-sighted|||adjective|||—clear-sightedness
cleverly	clever|||adjective|||—cleverly,—cleverness
cleverness	clever|||adjective|||—cleverly,—cleverness
clichéd	cliché|||noun|||—clichéd
clicktivist	clicktivism|||noun|||—clicktivist
cliffhanging	cliffhanger|||noun|||—cliffhanging
climatologist	climatology|||noun|||—climatologist
clinically	clinical|||adjective|||—clinically
cloaked	cloak|||verb|||—cloaked
clockwatcher	clockwatching|||noun|||—clockwatcher
clogged	clog|||verb|||—clogged
closeness	close|||adjective|||—closeness
cloyingly	cloying|||adjective|||—cloyingly
clubber	clubbing|||noun|||—clubber
club-footed	club foot|||noun|||—club-footed
clucking	cluck|||verb|||—clucking
clumsily	clumsy|||adjective|||—clumsily,—clumsiness
clumsiness	clumsy|||adjective|||—clumsily,—clumsiness
cluster-bomb	cluster bomb|||noun|||—cluster-bomb
cluttered	clutter|||verb|||—cluttered
coagulation	coagulate|||verb|||—coagulation
coalescence	coalesce|||verb|||—coalescence
coal miner	coal mine|||noun|||—coal miner
coarsely	coarse|||adjective|||—coarsely,—coarseness
coarseness	coarse|||adjective|||—coarsely,—coarseness
coaxing	coax|||verb|||—coaxing,—coaxingly
coaxingly	coax|||verb|||—coaxing,—coaxingly
cobwebbed	cobweb|||noun|||—cobwebbed
cockfighting	cock fight|||noun|||—cockfighting
cockily	cocky|||adjective|||—cockily,—cockiness
cockiness	cocky|||adjective|||—cockily,—cockiness
cocooned	cocoon|||verb|||—cocooned
code-name	code name|||noun|||—code-name
co-dependence	co-dependent|||adjective|||—co-dependence
codification	codify|||verb|||—codification
coeducational	coeducation|||noun|||—coeducational
coercively	coercive|||adjective|||—coercively
cogency	cogent|||adjective|||—cogently,—cogency
cogently	cogent|||adjective|||—cogently,—cogency
cogitation	cogitate|||verb|||—cogitation
cognitively	cognitive|||adjective|||—cognitively
cohabitation	cohabit|||verb|||—cohabitation
coherently	coherent|||adjective|||—coherently
cohesively	cohesive|||adjective|||—cohesively,—cohesiveness
cohesiveness	cohesive|||adjective|||—cohesively,—cohesiveness
coiffured,	coiffure|||noun|||—coiffured,,—coiffed
coiled	coil|||verb|||—coiled
coincidentally	coincidental|||adjective|||—coincidentally
coital	coitus|||noun|||—coital
cold-bloodedly	cold-blooded|||adjective|||—cold-bloodedly,—cold-bloodedness
cold-bloodedness	cold-blooded|||adjective|||—cold-bloodedly,—cold-bloodedness
cold-calling	cold call|||verb|||—cold call,—cold-calling
cold-heartedly	cold-hearted|||adjective|||—cold-heartedly,—cold-heartedness
cold-heartedness	cold-hearted|||adjective|||—cold-heartedly,—cold-heartedness
colicky	colic|||noun|||—colicky
collateralize	collateral|||noun|||—collateralize
collation	collate|||verb|||—collation
collectivist	collectivism|||noun|||—collectivist
collectivization	collectivize|||verb|||—collectivization
colloquially	colloquial|||adjective|||—colloquially
Colombian	Colombia|||adjective|||—Colombian
colonization	colonize|||verb|||—colonizer,—colonization
colonizer	colonize|||verb|||—colonizer,—colonization
colonnaded	colonnade|||noun|||—colonnaded
colorization	colorize|||verb|||—colorization
colossally	colossal|||adjective|||—colossally
colour-blindness	colour-blind|||adjective|||—colour-blindness
colour-coordination	colour-coordinated|||adjective|||—ˌcolour-coordiˈnation
colourfully	colourful|||adjective|||—colourfully
colourlessly	colourless|||adjective|||—colourlessly
combativeness	combative|||adjective|||—combativeness
comeliness	comely|||adjective|||—comeliness
comfortingly	comforting|||adjective|||—comfortingly
comically	comical|||adjective|||—comically
commemorative	commemorate|||verb|||—commemorative
commendably	commendable|||adjective|||—commendably
commercialization	commercialize|||verb|||—commercialization
commingling	commingle|||verb|||—commingling
compactly	compact|||adjective|||—compactly,—compactness
compactness	compact|||adjective|||—compactly,—compactness
companionably	companionable|||adjective|||—companionably
comparability	comparable|||adjective|||—comparability
comparison shopping	comparison-shop|||verb|||—comparison shopping
compartmentalization	compartmentalize|||verb|||—compartmentalized,—compartmentalization
compartmentalized	compartmentalize|||verb|||—compartmentalized,—compartmentalization
compassionately	compassionate|||adjective|||—compassionately
compellingly	compelling|||adjective|||—compellingly
competently	competent|||adjective|||—competently
competitively	competitive|||adjective|||—competitively
complacently	complacent|||adjective|||—complacently
complaisant	complaisance|||noun|||—complaisant,—complaisantly
complaisantly	complaisance|||noun|||—complaisant,—complaisantly
complementarity	complementary|||adjective|||—complementarity
completeness	complete|||adjective|||—completeness
complicit	complicity|||noun|||—complicit
comportment	comport|||verb|||—comportment
compositional	composition|||noun|||—compositional
comprehensibility	comprehensible|||adjective|||—comprehensibility
comprehensively	comprehensive|||adjective|||—comprehensively,—comprehensiveness
comprehensiveness	comprehensive|||adjective|||—comprehensively,—comprehensiveness
compressible	compress|||verb|||—compressible,—compression
compression	compress|||verb|||—compressible,—compression
compulsively	compulsive|||adjective|||—compulsively,—compulsiveness
compulsiveness	compulsive|||adjective|||—compulsively,—compulsiveness
compulsorily	compulsory|||adjective|||—compulsorily
computational	computation|||noun|||—computational
computerization	computerize|||verb|||—computerization
computer literacy	computer-literate|||adjective|||—computer literacy
comradely	comrade|||noun|||—comradely
concealment	conceal|||verb|||—concealment
conceitedly	conceited|||adjective|||—conceitedly,—conceitedness
conceitedness	conceited|||adjective|||—conceitedly,—conceitedness
conceivably	conceivable|||adjective|||—conceivably
conceptualization	conceptualize|||verb|||—conceptualization
conceptually	conceptual|||adjective|||—conceptually
concertedly	concerted|||adjective|||—concertedly
