aback	aback	 adverb	surprised
aid	aid	 noun	something that is given to help people who need it
aid	aid	 noun	help that is given
aid	aid	 noun	to help someone
aid	aid	 noun	ways of saying that something helps you to do something
aid	aid	 verb	to help something to happen
aid	aid	 verb	ways of saying that something helps you to do something
aide	aide	 noun	someone who helps another person to do something
ailment	ailment	 noun	an illness
aim	aim	 noun	what you want to achieve when you do something
aim	aim	 noun	to be intended for a particular purpose
aim	aim	 noun	to point a gun or weapon carefully before shooting
aim	aim	 verb	to point a gun or weapon carefully before shooting
aimless	aimless	 adjective	without any purpose
aimlessly	aimless	 adjective	without any purpose
aimlessness	aimless	 adjective	without any purpose
air	air	 noun	the air that we breathe
air	air	 noun	when there is not enough fresh air
air	air	 noun	to let fresh air into a place
air	air	 noun	to fill something with air
air	air	 noun	to let the air out of something
air	air	 noun	to stop arguing
air	air	 noun	a long way above the ground
air	air	 noun	not inside a building
air	air	 noun	when a programme is broadcast on television or radio
air	air	 noun	different ways of travelling
air	air	 noun	something that you cannot be certain about
air	air	 noun	done in a particular way
air	air	 verb	the air that we breathe
air	air	 verb	when there is not enough fresh air
air	air	 verb	to let fresh air into a place
air	air	 verb	to fill something with air
air	air	 verb	to let the air out of something
air	air	 verb	used by or connected with the army, navy etc
air	air	 verb	to say that you are annoyed or not satisfied about something
air	air	 verb	to say clearly what your opinion is
airhead	airhead	 noun	someone who is not intelligent
airless	airless	 adjective	when there is not enough fresh air
airman	airman	 noun	someone who is in the army, navy etc
ajar	ajar	 adjective	an open door or window
akin	akin	 adjective	like something or someone else
alarm	alarm	 noun	making you realize that something bad could happen
alarm	alarm	 noun	to warn someone about something
alarm	alarm	 verb	to make someone feel frightened
alarming	alarming	 adjective	doing things quickly or happening quickly
alarming	alarming	 adjective	making you feel worried
alarmingly	alarming	 adjective	doing things quickly or happening quickly
alarmingly	alarming	 adjective	making you feel worried
alarmist	alarmist	 adjective	making you feel worried
alcohol	alcohol	 noun	drinks that contain alcohol
alcoholic	alcoholic	 noun	someone who is often drunk
aleck	aleck		an annoying person who thinks they are clever
alert	alert	 adjective	always watching to see what happens
alert	alert	 verb	to warn someone about something
alert	alert	 noun	ready to take action if it is needed
alert	alert	 noun	always watching to see what happens
alertness	alert	 adjective	always watching to see what happens
alias	alias	 preposition	a name that someone uses that is not their real name
alien	alien	 noun	from a different country
alienate	alienate	 verb	alone and unhappy
alienated	alienate	 verb	alone and unhappy
alike	alike	 adjective	like something or someone else
alimony	alimony	 noun	money that you pay to your former husband or wife
alimony	alimony	 noun	to provide money for someone else to live on
alive	alive	 adjective	not dead
alive	alive	 adjective	to continue to be alive
alive	alive	 adjective	something that is alive
alive	alive	 adjective	something that is not living and never has been living
alive	alive	 adjective	happy and energetic
alive	alive	 adjective	to not die in spite of an accident, illness, or war
all	all	 determiner	all of a group of things or people
all	all	 determiner	all of something
all	all	 determiner	affecting or including all of something
all	all	 determiner	when you have almost done something or something has almost happened
all	all	 determiner	all the people in a group
all	all	 determiner	only one, or only a small number
all	all	 determiner	a surprisingly small price/number/amount.
all	all	 determiner	to try as hard as you can
all	all	 adverb	all of a group of things or people
all	all	 adverb	all of something
all	all	 adverb	affecting or including all of something
all	all	 adverb	to do something again
all	all	 adverb	during the whole of an event or period of time
all	all	 adverb	but
all	all	 adverb	during
all	all	 adverb	to be in an equal position in a game, competition etc
all	all	 adverb	everywhere in a place or country
all	all	 adverb	a long time
all	all	 adverb	when two teams or players have the same score
all	all	 adverb	when two teams or players have the same score
all	all	 adverb	suddenly
all	all	 adverb	a long time
all	all	 adverb	words for describing things or people of many different kinds
allay	allay	 verb	to reduce pain, worry, or unpleasant feelings
allegation	allegation	 noun	to say that you think someone has done something bad 
allege	allege	 verb	to say that you think someone has done something bad 
allegiance	allegiance	 noun	loyal behaviour
allegorical	allegory	 noun	stories that are intended to teach people something
allegorically	allegory	 noun	stories that are intended to teach people something
allegory	allegory	 noun	stories that are intended to teach people something
all-embracing	all-embracing	 adjective	affecting or including all of something
alleviate	alleviate	 verb	to reduce pain, worry, or unpleasant feelings
alleviation	alleviate	 verb	to reduce pain, worry, or unpleasant feelings
alley	alley	 noun	in a town
all go	all go	 adjective	a busy time
alliance	alliance	 noun	people or groups who work together
allocate	allocate	 verb	to officially give something to someone
allocation	allocation	 noun	the part of something that someone gets or owns
allot	allot	 verb	to officially give something to someone
